303 , Real Oviedo , 2-0 , Hércules CF
304 , Real Oviedo , 2-1 , CD Logroñés
305 , Real Oviedo , 1-5 , Racing de Santander
306 , Real Oviedo , 0-2 , Rayo Vallecano
307 , Real Oviedo , 2-3 , Real Madrid
308 , Real Oviedo , 0-0 , Real Sociedad
309 , Real Oviedo , 1-0 , Sevilla FC
310 , Real Oviedo , 0-0 , Sporting de Gijón
311 , Real Oviedo , 1-3 , CD Tenerife
312 , Real Oviedo , 3-0 , Valencia CF
313 , Real Oviedo , 1-1 , Valladolid
314 , Real Oviedo , 1-0 , Zaragoza
315 , Real Sociedad , 0-0 , Athletic Bilbao
316 , Real Sociedad , 1-1 , Atlético Madrid
317 , Real Sociedad , 2-0 , FC Barcelona
318 , Real Sociedad , 0-1 , Betis
319 , Real Sociedad , 1-2 , Celta de Vigo
320 , Real Sociedad , 4-1 , SD Compostela
321 , Real Sociedad , 1-1 , Deportivo de La Coruna
322 , Real Sociedad , 1-0 , RCD Espanyol
323 , Real Sociedad , 3-0 , CF Extremadura
324 , Real Sociedad , 2-1 , Hércules CF
325 , Real Sociedad , 2-1 , CD Logroñés
326 , Real Sociedad , 2-0 , Racing de Santander
327 , Real Sociedad , 3-1 , Rayo Vallecano
328 , Real Sociedad , 1-2 , Real Madrid
329 , Real Sociedad , 1-0 , Real Oviedo
330 , Real Sociedad , 1-0 , Sevilla FC
331 , Real Sociedad , 1-1 , Sporting de Gijón
332 , Real Sociedad , 3-0 , CD Tenerife
333 , Real Sociedad , 0-1 , Valencia CF
334 , Real Sociedad , 0-0 , Valladolid
335 , Real Sociedad , 1-0 , Zaragoza
336 , Sevilla FC , 4-2 , Athletic Bilbao
337 , Sevilla FC , 0-0 , Atlético Madrid
338 , Sevilla FC , 0-1 , FC Barcelona
339 , Sevilla FC , 0-3 , Betis
340 , Sevilla FC , 2-0 , Celta de Vigo
341 , Sevilla FC , 0-1 , SD Compostela
342 , Sevilla FC , 0-1 , Deportivo de La Coruna
343 , Sevilla FC , 3-1 , RCD Espanyol
344 , Sevilla FC , 0-0 , CF Extremadura
345 , Sevilla FC , 5-0 , Hércules CF
346 , Sevilla FC , 1-4 , CD Logroñés
347 , Sevilla FC , 0-0 , Racing de Santander
348 , Sevilla FC , 2-0 , Rayo Vallecano
349 , Sevilla FC , 1-3 , Real Madrid
350 , Sevilla FC , 2-1 , Real Oviedo
351 , Sevilla FC , 2-3 , Real Sociedad
352 , Sevilla FC , 2-1 , Sporting de Gijón
353 , Sevilla FC , 2-1 , CD Tenerife
354 , Sevilla FC , 0-2 , Valencia CF
355 , Sevilla FC , 2-2 , Valladolid
356 , Sevilla FC , 1-2 , Zaragoza
357 , Sporting de Gijón , 2-4 , Athletic Bilbao
358 , Sporting de Gijón , 0-1 , Atlético Madrid
359 , Sporting de Gijón , 0-0 , FC Barcelona
360 , Sporting de Gijón , 2-4 , Betis
361 , Sporting de Gijón , 2-1 , Celta de Vigo
362 , Sporting de Gijón , 1-1 , SD Compostela
363 , Sporting de Gijón , 1-1 , Deportivo de La Coruna
364 , Sporting de Gijón , 4-3 , RCD Espanyol
365 , Sporting de Gijón , 1-1 , CF Extremadura
366 , Sporting de Gijón , 2-0 , Hércules CF
367 , Sporting de Gijón , 2-0 , CD Logroñés
368 , Sporting de Gijón , 0-1 , Racing de Santander
369 , Sporting de Gijón , 3-0 , Rayo Vallecano
370 , Sporting de Gijón , 0-1 , Real Madrid
371 , Sporting de Gijón , 0-0 , Real Oviedo
372 , Sporting de Gijón , 0-0 , Real Sociedad
373 , Sporting de Gijón , 1-1 , Sevilla FC
374 , Sporting de Gijón , 2-1 , CD Tenerife
375 , Sporting de Gijón , 2-1 , Valencia CF
376 , Sporting de Gijón , 1-2 , Valladolid
377 , Sporting de Gijón , 2-0 , Zaragoza
378 , CD Tenerife , 3-3 , Athletic Bilbao
379 , CD Tenerife , 2-3 , Atlético Madrid
380 , CD Tenerife , 4-0 , FC Barcelona
381 , CD Tenerife , 0-1 , Betis
382 , CD Tenerife , 0-0 , Celta de Vigo
383 , CD Tenerife , 6-0 , SD Compostela
384 , CD Tenerife , 2-1 , Deportivo de La Coruna
385 , CD Tenerife , 5-1 , RCD Espanyol
386 , CD Tenerife , 2-1 , CF Extremadura
387 , CD Tenerife , 3-1 , Hércules CF
388 , CD Tenerife , 2-0 , CD Logroñés
389 , CD Tenerife , 2-2 , Racing de Santander
390 , CD Tenerife , 1-2 , Rayo Vallecano
391 , CD Tenerife , 1-1 , Real Madrid
392 , CD Tenerife , 2-2 , Real Oviedo
393 , CD Tenerife , 0-1 , Real Sociedad
394 , CD Tenerife , 0-2 , Sevilla FC
395 , CD Tenerife , 6-0 , Sporting de Gijón
396 , CD Tenerife , 2-1 , Valencia CF
397 , CD Tenerife , 1-3 , Valladolid
398 , CD Tenerife , 3-3 , Zaragoza
399 , Valencia CF , 5-2 , Athletic Bilbao
400 , Valencia CF , 3-1 , Atlético Madrid
401 , Valencia CF , 1-1 , FC Barcelona
402 , Valencia CF , 1-1 , Betis
403 , Valencia CF , 2-0 , Celta de Vigo
404 , Valencia CF , 2-1 , SD Compostela
405 , Valencia CF , 1-1 , Deportivo de La Coruna
406 , Valencia CF , 1-1 , RCD Espanyol
407 , Valencia CF , 0-0 , CF Extremadura
408 , Valencia CF , 3-0 , Hércules CF
409 , Valencia CF , 0-1 , CD Logroñés
410 , Valencia CF , 1-1 , Racing de Santander
411 , Valencia CF , 1-0 , Rayo Vallecano
412 , Valencia CF , 1-1 , Real Madrid
413 , Valencia CF , 2-1 , Real Oviedo
414 , Valencia CF , 0-1 , Real Sociedad
415 , Valencia CF , 4-2 , Sevilla FC
416 , Valencia CF , 2-1 , Sporting de Gijón
417 , Valencia CF , 2-1 , CD Tenerife
418 , Valencia CF , 2-4 , Valladolid
419 , Valencia CF , 1-1 , Zaragoza
420 , Valladolid , 0-0 , Athletic Bilbao
421 , Valladolid , 0-3 , Atlético Madrid
422 , Valladolid , 3-1 , FC Barcelona
423 , Valladolid , 1-3 , Betis
424 , Valladolid , 0-1 , Celta de Vigo
425 , Valladolid , 3-1 , SD Compostela
426 , Valladolid , 1-1 , Deportivo de La Coruna
427 , Valladolid , 2-1 , RCD Espanyol
428 , Valladolid , 4-0 , CF Extremadura
429 , Valladolid , 1-0 , Hércules CF
430 , Valladolid , 2-1 , CD Logroñés
431 , Valladolid , 3-0 , Racing de Santander
432 , Valladolid , 4-0 , Rayo Vallecano
433 , Valladolid , 1-1 , Real Madrid
434 , Valladolid , 0-1 , Real Oviedo
435 , Valladolid , 3-0 , Real Sociedad
436 , Valladolid , 0-1 , Sevilla FC
437 , Valladolid , 1-0 , Sporting de Gijón
438 , Valladolid , 0-2 , CD Tenerife
439 , Valladolid , 4-1 , Valencia CF
440 , Valladolid , 1-1 , Zaragoza
